THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score,,
WEIGHT,,,,,,,,,,,,,,,
205133,Chittagong,Lakshmipur,Kamalnagar,78,0,0,14.85810469,11.35000126,0.804129288,5.125341784,,5.685066719,6.278070434,,
205143,Chittagong,Lakshmipur,Lakshmipur Sadar,79,0.24568,14.91717622,11.29027658,7.605328506,1.640822741,10.45824033,,10.85787675,12.38185157,,
205158,Chittagong,Lakshmipur,Roypur,82,0.182999667,11.11135738,6.296844272,2.364389383,1.435077276,9.146864361,,7.411108556,8.314754858,,
205165,Chittagong,Lakshmipur,Ramganj,80,0,0,6.445144331,2.520040152,0,0,,0.87192629,0.598690053,,
205173,Chittagong,Lakshmipur,Ramgati,81,0.201206236,12.2168222,20.78015513,17.56558684,2.505826276,15.97158107,,15.355367,17.68877296,,
207507,Chittagong,Noakhali,Begumganj,83,0,0,15.89098516,12.43407797,0,0,,4.302153466,4.646268804,,
207510,Chittagong,Noakhali,Chatkhil,84,0,0,9.141875781,5.350439062,0,0,,1.851235774,1.754249744,,
207521,Chittagong,Noakhali,Companiganj,85,0.37991655,23.06773903,35.66716379,33.19049198,0.578934465,3.689999914,,19.92358514,23.07915143,,
207536,Chittagong,Noakhali,Hatiya,86,0.5560449,33.76188439,38.09033657,35.73377288,7.862339956,50.11281158,,40.05254634,46.83080152,,
207547,Chittagong,Noakhali,Kabirhat,87,0,0,22.62962129,19.50672451,0,0,,6.749267832,7.533800037,,
207580,Chittagong,Noakhali,Noakhali Sadar (Sudharam),88,0,0,21.09604489,17.89713414,0,0,,6.19235442,6.876656712,,
207583,Chittagong,Noakhali,Senbagh,89,0,0,17.54795657,14.17317961,0,0,,4.903877385,5.356287361,,
207585,Chittagong,Noakhali,Sonaimuri,90,0,0,13.546644,9.973536095,0,0,,3.4508134,3.641709693,,
207587,Chittagong,Noakhali,Subarnachar,91,0.713234364,43.30610018,35.61686911,33.13770437,1.137871708,7.252541969,,27.42143711,31.92642152,,
303532,Dhaka,Gopalganj,Gopalganj Sadar,92,0,0,11.00972627,7.310872307,0.029251665,0.186443627,,2.593490228,2.630090673,,
303543,Dhaka,Gopalganj,Kashiani,93,0,0,11.02289948,7.324698467,0.024603369,0.156816419,,2.588111857,2.623744336,,
303551,Dhaka,Gopalganj,Kotali Para,94,0.211166,12.82155826,9.340520237,5.558929622,0,0,,5.910895434,6.544542438,,
303558,Dhaka,Gopalganj,Muksudpur,95,0,0,10.54068839,6.818585875,0.002377796,0.015155544,,2.364408518,2.359780221,,
303591,Dhaka,Gopalganj,Tungi Para,96,0,0,9.942424834,6.190668506,0.152860436,0.974298526,,2.476138597,2.491618805,,
308614,Dhaka,Shariatpur,Bhedarganj,97,0,0,5.842169609,1.887178101,1.445222155,9.21152557,,3.812526103,4.068521265,,
308625,Dhaka,Shariatpur,Damudya,98,0,0,5.768343165,1.809692341,0,0,,0.62614809,0.308678177,,
308636,Dhaka,Shariatpur,Gosairhat,99,0,0,5.704921756,1.743127357,0.544189597,3.468543829,,1.792832952,1.685335935,,
