THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score
404712,Khulna,Khulna,Batiaghata,120,0,0,29.70355131,11.5354578,0.657399406,0.463099253,,4.19948595,2.254105283
404717,Khulna,Khulna,Dacope,121,0,0,39.99638484,15.58043643,3.167136632,2.23106166,,6.214787622,4.655166508
404730,Khulna,Khulna,Dighalia,122,0,0,26.3137855,10.20331439,0.0033201,0.002338815,,3.57684727,1.512284039
404740,Khulna,Khulna,Dumuria,123,0,0,27.45055167,10.65005191,0.124301744,0.087563275,,3.762227908,1.733149367
404753,Khulna,Khulna,Koyra,125,0,0,38.19631015,14.87302543,3.253891334,2.292175249,,5.987512285,4.384387197
404764,Khulna,Khulna,Paikgachha,126,0,0,29.73932041,11.54951469,0.687034261,0.483975267,,4.211469251,2.268382371
404769,Khulna,Khulna,Phultala,127,0,0,23.94690077,9.273152825,0.001849223,0.001302669,,3.250494084,1.123461865
404775,Khulna,Khulna,Rupsa,128,0,0,29.39279546,11.41333392,0.030032443,0.021156091,,4.007295536,2.025126685
404794,Khulna,Khulna,Terokhada,129,0,0,28.2273322,10.95531874,0,0,,3.839619101,1.825354418
406528,Khulna,Narail,Kalia,130,0,0,28.51924512,11.07003754,0.382647095,0.269552394,,3.970941556,1.981813998
406552,Khulna,Narail,Lohagara,131,0,0,24.76268759,9.593748728,0.160088158,0.112772701,,3.400536318,1.302224476
406576,Khulna,Narail,Narail Sadar,132,0,0,22.88710946,8.856665645,0.00247328,0.00174228,,3.104672296,0.949727557
408704,Khulna,Satkhira,Assasuni,133,0,0,29.11224735,11.30308137,0.233301916,0.164347491,,4.017056704,2.03675629
408725,Khulna,Satkhira,Debhata,134,0,0,24.14883348,9.352510321,0.037397373,0.026344252,,3.286772008,1.166683938
408743,Khulna,Satkhira,Kalaroa,135,0,0,21.68084982,8.382617905,0,0,,2.937939151,0.751079139
408747,Khulna,Satkhira,Kaliganj,136,0,0,27.00648595,10.47553861,0.072762955,0.051257226,,3.688792101,1.645656823
408782,Khulna,Satkhira,Satkhira Sadar,137,0,0,24.49416232,9.488221035,0.063696904,0.044870726,,3.340598323,1.230813433
408786,Khulna,Satkhira,Shyamnagar,138,0.45744775,21.02559471,35.89430672,13.96836156,1.061027441,0.747431487,,11.69762218,11.18749942
408790,Khulna,Satkhira,Tala,139,0,0,25.93872517,10.05591951,0.002691999,0.001896355,,3.52503876,1.450558589
1,Chittagong,Chittagong,Chittagong City Corporation,53,0.603392636,27.73363518,210.8252756,82.71444884,89.58047338,63.10417984,,58.95948286,67.49600284
2,Khulna,Khulna,Khulna City Corporation,124,0,0,27.87972599,10.81871304,0.101061917,0.071192182,,3.815806385,1.796983583
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,.820,0.311493712,0.311493712,,,,,,,,,
,,.923,0.350479908,0.350479908,,,,,,,,,
,,.890,0.33802638,0.33802638,,,,,,,,,
,,2.632844256,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Component Matrixa,,,,,,,,,,,
,,,Component,,,,,,,,,,
,,,1,,,,,,,,,,
,,VAR00031,.820,,,,,,,,,,
,,VAR00032,.923,,,,,,,,,,
,,VAR00033,.890,,,,,,,,,,
,,Extraction Method: Principal Component Analysis.,,,,,,,,,,,
,,a. 1 components extracted.,,,,,,,,,,,
