THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score
404769,Khulna,Khulna,Phultala,127,0,0,29.03406431,9.336192424,0.019204802,0.013173728,,3.071222437,1.325346422
404775,Khulna,Khulna,Rupsa,128,0,0,33.02571847,10.63443618,0.022648147,0.015535726,,3.498472617,1.760292209
404794,Khulna,Khulna,Terokhada,129,0,0,37.85854994,12.20626407,0,0,,4.009460814,2.280484299
406528,Khulna,Narail,Kalia,130,0,0,41.14843508,13.27626479,0.443014984,0.303890611,,4.46497421,2.744202378
406552,Khulna,Narail,Lohagara,131,0,0,44.0312603,14.21387354,0.348633537,0.239148702,,4.750789941,3.035166206
406576,Khulna,Narail,Narail Sadar,132,0,0,39.48658427,12.7357652,0.008972677,0.006154899,,4.185496332,2.459690559
408704,Khulna,Satkhira,Assasuni,133,0,0,17.6454985,5.632180526,0.269413829,0.184807142,,1.913307419,0.146575099
408725,Khulna,Satkhira,Debhata,134,0,0,23.01985817,7.38013479,0.074663347,0.051216078,,2.441729792,0.684515388
408743,Khulna,Satkhira,Kalaroa,135,0,0,29.5765659,9.512635391,0,0,,3.12466932,1.379755987
408747,Khulna,Satkhira,Kaliganj,136,0,0,22.85530207,7.32661464,0.040485252,0.027771268,,2.416122836,0.658447201
408782,Khulna,Satkhira,Satkhira Sadar,137,0,0,25.71761719,8.257552691,0.043574613,0.029890447,,2.72263889,0.970484207
408786,Khulna,Satkhira,Shyamnagar,138,0.4538175,8.192139999,62.74563343,20.30052763,3.900408734,2.675524836,,10.28070624,8.664687066
408790,Khulna,Satkhira,Tala,139,0,0,22.52966392,7.220704238,0.019214917,0.013180667,,2.376338405,0.617946175
1,Chittagong,Chittagong,Chittagong City Corporation,53,0.998237857,18.01980813,152.4957411,49.49081131,12.43867617,8.532435775,,25.10903929,23.76010727
2,Khulna,Khulna,Khulna City Corporation,124,0,0,27.08609107,8.702634505,0.09561981,0.065591376,,2.881060502,1.1317593
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,.874,0.329150517,0.329150517,,,,,,,,,
,,.872,0.328475674,0.328475674,,,,,,,,,
,,.909,0.342373809,0.342373809,,,,,,,,,
,,2.654386384,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Matrixa,,,,,,,,,,,,
,,Component,,,,,,,,,,,
,,1,,,,,,,,,,,
,VAR00004,.874,,,,,,,,,,,
,VAR00005,.872,,,,,,,,,,,
,VAR00006,.909,,,,,,,,,,,
,Extraction Method: Principal Component Analysis.,,,,,,,,,,,,
,a. 1 components extracted.,,,,,,,,,,,,
