THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score,,,,
WEIGHT,,,,,,,,,,,,,,,,,
406552,Khulna,Narail,Lohagara,131,0,,33.44577545,,0.314921303,,,0,#DIV/0!,,,,
406576,Khulna,Narail,Narail Sadar,132,0,,33.55152848,,0.005370885,,,0,#DIV/0!,,,,
408704,Khulna,Satkhira,Assasuni,133,0,,34.31553355,,0.276199573,,,0,#DIV/0!,,,,
408725,Khulna,Satkhira,Debhata,134,0,,34.64683174,,0.137824045,,,0,#DIV/0!,,,,
408743,Khulna,Satkhira,Kalaroa,135,0,,34.71962947,,0,,,0,#DIV/0!,,,,
408747,Khulna,Satkhira,Kaliganj,136,0,,34.59853925,,0.131807478,,,0,#DIV/0!,,,,
408782,Khulna,Satkhira,Satkhira Sadar,137,0,,34.65214585,,0.125696714,,,0,#DIV/0!,,,,
408786,Khulna,Satkhira,Shyamnagar,138,0.889318444,,35.14405872,,1.647351827,,,0,#DIV/0!,,,,
408790,Khulna,Satkhira,Tala,139,0,,34.1923028,,0.008900648,,,0,#DIV/0!,,,,
1,Chittagong,Chittagong,Chittagong City Corporation,53,0.284315333,,22.12640031,,1.794844707,,,0,#DIV/0!,,,,
2,Khulna,Khulna,Khulna City Corporation,124,0,,33.06244648,,0.209148005,,,0,#DIV/0!,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,.313,#DIV/0!,0.277640479,,,,,,,,,,,,,,
,.836,#DIV/0!,0.336986734,,,,,,,,,,,,,,
,.944,#DIV/0!,0.385372787,,,,,,,,,,,,,,
,2.093,,,,,,,,,,,,,,,,
